timestamp,electricity_bill
2012-01-1,434
2012-02-1,467
2012-03-1,473
2012-04-1,416
2012-05-1,426
2012-06-1,422
2012-07-1,447
2012-08-1,474
2012-09-1,437
2012-10-1,489
2012-11-1,476
2012-12-1,464
2013-01-1,459
2013-02-1,479
2013-03-1,453
2013-04-1,436
2013-05-1,455
2013-06-1,442
2013-07-1,457
2013-08-1,479
2013-09-1,494
2013-10-1,449
2013-11-1,442
2013-12-1,407
2014-01-1,474
2014-02-1,466
2014-03-1,500
2014-04-1,478
2014-05-1,479
2014-06-1,471
2014-07-1,479
2014-08-1,455
2014-09-1,473
2014-10-1,448
2014-11-1,424
2014-12-1,489
2015-01-1,472
2015-02-1,424
2015-03-1,439
2015-04-1,419
2015-05-1,470
2015-06-1,460
2015-07-1,448
2015-08-1,471
2015-09-1,482
2015-10-1,448
2015-11-1,434
2015-12-1,422
2016-01-1,496
2016-02-1,443
2016-03-1,435
2016-04-1,511
2016-05-1,465
2016-06-1,437
2016-07-1,436
2016-08-1,447
2016-09-1,417
2016-10-1,406
2016-11-1,479
2016-12-1,418
2017-01-1,439
2017-02-1,453
2017-03-1,464
2017-04-1,432
2017-05-1,482
2017-06-1,467
2017-07-1,429
2017-08-1,431
2017-09-1,461
2017-10-1,452
2017-11-1,468
2017-12-1,436
2018-01-1,473
2018-02-1,435
2018-03-1,438
2018-04-1,509
2018-05-1,446
2018-06-1,436
2018-07-1,457
2018-08-1,429
2018-09-1,464
2018-10-1,445
2018-11-1,454
2018-12-1,447
2019-01-1,433
2019-02-1,459
2019-03-1,464
2019-04-1,478
2019-05-1,486
2019-06-1,477
2019-07-1,474
2019-08-1,469
2019-09-1,454
2019-10-1,457
2019-11-1,458
2019-12-1,448
2020-01-1,428
2020-02-1,472
2020-03-1,445
2020-04-1,417
2020-05-1,455
2020-06-1,445
2020-07-1,501
2020-08-1,450
2020-09-1,425
2020-10-1,472
2020-11-1,481
2020-12-1,464
2021-01-1,425
2021-02-1,466
2021-03-1,433
2021-04-1,457
2021-05-1,494
2021-06-1,473
2021-07-1,464
2021-08-1,425
2021-09-1,487
2021-10-1,465
2021-11-1,450
2021-12-1,479
2022-01-1,452
2022-02-1,463
2022-03-1,432
2022-04-1,457
2022-05-1,422
2022-06-1,468
2022-07-1,444
2022-08-1,419
2022-09-1,466
2022-10-1,463
2022-11-1,449
2022-12-1,464
2023-01-1,478
2023-02-1,451
2023-03-1,431
2023-04-1,452
2023-05-1,456
2023-06-1,494
2023-07-1,470
